Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2006,32.0S,60.2E,48.1,,,,,107000000000.0,0.32
2006,29.0S,108.0W,,,,,,121000000000.0,0.36
2006,,,,,,,,22000000000.0,0.079
2006,14.0S,109.1E,44.1,14.2,10.0,-9.9,1.5,1230000000000.0,2.8
2006,44.0S,162.0W,40.7,,,,,92000000000.0,0.28
2006,43.0S,33.4E,47.2,,,,,32000000000.0,0.11
2006,11.0S,165.7E,48.2,,,,,256000000000.0,0.7
2006,4.9N,49.6E,32.7,,,,,47000000000.0,0.16
2006,23.1S,53.7E,37.0,,,,,1020000000000.0,2.4
2006,78.3S,5.0W,29.6,12.4,0.1,2.0,12.2,85000000000.0,0.26
2006,31.1N,45.6E,38.9,30.2,9.2,-1.2,-28.7,163000000000.0,0.47
2006,69.2N,22.5E,40.7,19.6,6.1,4.6,-18.0,59000000000.0,0.19
2006,,,,,,,,26000000000.0,0.092
2006,11.6S,25.5W,,,,,,263000000000.0,0.71
2006,,,,,,,,30000000000.0,0.1
2006,60.2S,152.3W,35.2,,,,,128000000000.0,0.38
2006,,,,,,,,20000000000.0,0.073
2006,17.3N,113.2W,33.3,,,,,127000000000.0,0.37
2006,26.6N,26.6W,25.0,,,,,2400000000000.0,5.0
2006,7.0N,64.6W,35.2,,,,,144000000000.0,0.42
2006,,,,,,,,70000000000.0,0.22
2006,54.5S,18.1E,35.2,,,,,1190000000000.0,2.7
2006,36.9N,143.6W,38.9,19.8,-8.8,3.4,-17.4,100000000000.0,0.3
2006,51.7S,56.4E,37.0,18.7,8.4,-16.4,3.2,740000000000.0,1.8
2006,58.7N,74.7E,20.0,,,,,45000000000.0,0.15
2006,79.8S,111.0W,37.0,,,,,53000000000.0,0.17
2006,29.8N,12.7W,32.4,16.9,-9.9,-6.3,-12.2,28000000000.0,0.098
2006,7.6N,28.2W,,,,,,94000000000.0,0.29
2005,3.0S,154.9W,42.2,20.7,18.6,8.5,3.2,190000000000.0,0.53
2005,54.0S,17.3E,66.0,,,,,181000000000.0,0.51
2005,33.8S,117.4E,32.2,17.0,-12.1,-9.6,7.2,88000000000.0,0.27
2005,6.4S,155.8W,,,,,,32000000000.0,0.11
2005,7.6N,58.2W,59.3,,,,,32000000000.0,0.11
2005,26.3N,113.4W,32.4,,,,,25000000000.0,0.089
2005,21.4N,134.1W,29.6,,,,,42000000000.0,0.14
2005,31.0S,145.9E,30.7,13.8,13.5,-2.7,-0.7,73000000000.0,0.23
2005,33.9N,154.9W,68.5,,,,,32000000000.0,0.11
2005,22.9N,123.8W,74.0,,,,,67000000000.0,0.21
2005,36.3S,80.5W,16.7,,,,,138000000000.0,0.4
2005,2.8S,84.1W,53.0,,,,,22000000000.0,0.079
2005,11.6N,27.3E,33.3,,,,,25000000000.0,0.089
2005,13.5N,73.1E,,,,,,82000000000.0,0.25
2005,,,,,,,,27000000000.0,0.095
2005,21.5S,56.2E,37.0,16.9,-16.3,4.3,1.4,25000000000.0,0.089
2005,49.8S,33.1E,50.0,,,,,31000000000.0,0.11
2005,47.9N,85.6E,,,,,,23000000000.0,0.082
2005,34.8N,90.9E,,,,,,41000000000.0,0.14
2005,31.0S,90.3W,29.6,26.2,-1.5,25.3,6.7,82000000000.0,0.25
2005,48.9S,145.1E,50.5,,,,,20000000000.0,0.073
2005,,,,,,,,129000000000.0,0.38
2005,75.8S,163.7E,15.2,16.6,9.6,-9.7,9.4,26000000000.0,0.092
2005,17.7N,36.0E,,,,,,46000000000.0,0.15
2005,20.9N,36.7W,37.0,,,,,22000000000.0,0.079
2005,50.2S,146.4W,38.5,16.8,9.3,13.8,2.5,232000000000.0,0.64
2005,,,,,,,,20000000000.0,0.073
2005,43.8S,73.9W,39.0,,,,,21000000000.0,0.076
2005,4.9N,176.0W,26.5,,,,,71000000000.0,0.22
2005,34.2S,95.7W,37.0,,,,,106000000000.0,0.32
2005,42.7S,154.6E,70.0,,,,,29000000000.0,0.1
2005,,,,,,,,35000000000.0,0.12
2005,1.0S,112.4E,59.2,,,,,219000000000.0,0.61
2005,14.1N,169.7E,27.2,,,,,204000000000.0,0.57
2005,42.8N,36.2W,,,,,,38000000000.0,0.13
2005,9.7S,34.7W,33.0,,,,,27000000000.0,0.095
2005,,,,,,,,22000000000.0,0.079
2005,21.4S,157.9W,44.4,,,,,53000000000.0,0.17
2005,14.3N,142.7E,30.7,,,,,40000000000.0,0.13
2005,,,,,,,,55000000000.0,0.18
2005,,,,,,,,41000000000.0,0.14
2005,48.0N,161.5W,42.5,,,,,100000000000.0,0.3
2005,27.5S,164.9W,40.7,,,,,141000000000.0,0.41
2005,21.3S,154.7E,35.2,21.5,20.2,-3.3,6.6,119000000000.0,0.35
2005,32.7N,12.4E,31.8,,,,,454000000000.0,1.2
2004,8.5S,171.8E,,,,,,90000000000.0,0.28
2004,9.7S,155.3E,,,,,,39000000000.0,0.13
2004,36.0N,104.1E,,,,,,30000000000.0,0.1
2004,61.0N,171.0W,,,,,,181000000000.0,0.51
2004,,,,,,,,186000000000.0,0.52
2004,,,,,,,,93000000000.0,0.28
2004,,,,,,,,30000000000.0,0.1
2004,27.3S,71.5E,35.0,19.2,-15.3,1.0,11.6,10400000000000.0,18.0
2004,3.7N,150.9W,,,,,,71000000000.0,0.22
2004,0.2N,101.1W,,,,,,62000000000.0,0.2
2004,67.7S,18.2E,31.5,,,,,7260000000000.0,13.0
2004,51.9S,22.7E,37.0,,,,,1440000000000.0,3.2
2004,,,,,,,,25000000000.0,0.089
2004,,,,,,,,197000000000.0,0.55
2004,,,,,,,,35000000000.0,0.12
2004,,,,,,,,29000000000.0,0.1
2004,,,,,,,,79000000000.0,0.25
2004,,,,,,,,65000000000.0,0.21
2004,21.7N,175.3E,,,,,,104000000000.0,0.31
2004,,,,,,,,104000000000.0,0.31
2004,1.3N,174.4W,43.0,19.5,9.4,17.0,-1.5,1810000000000.0,3.9
2004,,,,,,,,339000000000.0,0.89
2004,,,,,,,,47000000000.0,0.16
2004,48.9N,120.4W,,,,,,54000000000.0,0.18
2004,28.1S,47.4W,,,,,,394000000000.0,1.0
2004,18.9S,28.3E,44.0,,,,,55000000000.0,0.18
2004,,,,,,,,49000000000.0,0.16
2004,,,,,,,,56000000000.0,0.18
2004,15.2S,55.1E,,,,,,139000000000.0,0.41
2004,44.3S,83.3E,29.6,16.3,8.5,-12.1,-6.8,624000000000.0,1.5
2004,12.0S,162.8E,35.0,25.6,10.5,-23.2,-2.9,433000000000.0,1.1
2004,7.6S,155.1E,46.0,,,,,24000000000.0,0.086
2004,4.8S,21.0E,,,,,,21000000000.0,0.076
2004,,,,,,,,60000000000.0,0.19
2004,18.3S,52.3E,,,,,,30000000000.0,0.1
2004,50.6S,157.8E,37.0,,,,,232000000000.0,0.64
2004,,,,,,,,28000000000.0,0.098
2004,,,,,,,,98000000000.0,0.3
2004,28.2S,3.2E,63.0,,,,,134000000000.0,0.39
2003,67.1S,90.8W,,,,,,643000000000.0,1.6
2003,22.9S,22.7E,32.0,,,,,35000000000.0,0.12
2003,64.5S,136.2E,23.0,20.1,14.8,-8.7,10.4,518000000000.0,1.3
2003,51.4S,151.7E,,,,,,73000000000.0,0.23
2003,,,,,,,,285000000000.0,0.77
2003,,,,,,,,30000000000.0,0.1
2003,,,,,,,,37000000000.0,0.13
2003,21.0N,86.6E,26.0,18.2,-1.0,-5.4,-17.3,2150000000000.0,4.6
2003,,,,,,,,33000000000.0,0.11
2003,,,,,,,,20000000000.0,0.073
2003,,,,,,,,30000000000.0,0.1
2003,51.3N,161.0W,,,,,,385000000000.0,1.0
2003,,,,,,,,72000000000.0,0.23
2003,,,,,,,,249000000000.0,0.68
2003,39.0S,34.0E,,,,,,647000000000.0,1.6
2003,,,,,,,,21000000000.0,0.076
2003,,,,,,,,58000000000.0,0.19
2003,,,,,,,,21000000000.0,0.076
2003,,,,,,,,38000000000.0,0.13
2003,,,,,,,,65000000000.0,0.21
2003,41.8S,122.9E,,,,,,32000000000.0,0.11
2003,5.2N,166.2E,,,,,,68000000000.0,0.22
2003,,,,,,,,521000000000.0,1.3
2003,,,,,,,,21000000000.0,0.076
2003,54.0N,80.4W,,,,,,43000000000.0,0.14
2003,,,,,,,,23000000000.0,0.082
2003,14.8N,64.5E,17.0,,,,,175000000000.0,0.5
2003,18.4S,162.6E,,,,,,22000000000.0,0.079
2003,,,,,,,,31000000000.0,0.11
2003,41.4N,87.7W,45.0,,,,,142000000000.0,0.41
2003,40.0N,116.0E,,,,,,33000000000.0,0.11
2003,,,,,,,,79000000000.0,0.25
2003,31.5S,107.5E,,,,,,120000000000.0,0.36
2003,62.9S,113.9W,,,,,,197000000000.0,0.55
2003,,,,,,,,103000000000.0,0.31
2003,59.9S,41.0E,,,,,,135000000000.0,0.4
2003,,,,,,,,107000000000.0,0.32
2002,,,,,,,,46000000000.0,0.15
2002,1.4S,154.0W,,,,,,240000000000.0,0.66
2002,21.1S,6.8W,,,,,,43000000000.0,0.14
2002,16.0N,166.0W,,,,,,460000000000.0,1.2
2002,4.3S,175.9W,,,,,,49000000000.0,0.16
2002,,,,,,,,117000000000.0,0.35
2002,57.9N,112.9E,,,,,,860000000000.0,2.0
2002,6.9S,126.2W,,,,,,90000000000.0,0.28
2002,18.2S,159.4E,,,,,,1510000000000.0,3.3
2002,,,,,,,,25000000000.0,0.089
2002,28.7S,47.0E,,,,,,230000000000.0,0.63
2002,34.0N,106.1E,,,,,,53000000000.0,0.17
2002,,,,,,,,159000000000.0,0.46
2002,,,,,,,,29000000000.0,0.1
2002,24.9S,111.4E,,,,,,191000000000.0,0.54
2002,34.0N,21.0E,,,,,,4500000000000.0,8.8
2002,5.3S,27.1E,,,,,,182000000000.0,0.51
2002,,,,,,,,32000000000.0,0.11
2002,,,,,,,,27000000000.0,0.095
2002,,,,,,,,83000000000.0,0.26
2002,,,,,,,,53000000000.0,0.17
2002,60.4S,120.5W,,,,,,20000000000.0,0.073
2002,6.9N,147.3W,,,,,,249000000000.0,0.68
2002,37.5N,154.0E,,,,,,82000000000.0,0.25
2002,29.2N,66.8W,,,,,,38000000000.0,0.13
2002,17.7S,138.7E,,,,,,70000000000.0,0.22
2002,60.7N,116.6E,,,,,,70000000000.0,0.22
2002,48.4N,165.0W,,,,,,104000000000.0,0.31
2002,,,,,,,,123000000000.0,0.36
2001,,,,,,,,151000000000.0,0.44
2001,,,,,,,,98000000000.0,0.3
2001,,,,,,,,192000000000.0,0.54
2001,,,,,,,,312000000000.0,0.83
2001,,,,,,,,130000000000.0,0.38
2001,52.7N,3.8E,,,,,,36000000000.0,0.12
2001,,,,,,,,89000000000.0,0.27
2001,,,,,,,,62000000000.0,0.2
2001,,,,,,,,158000000000.0,0.45
2001,,,,,,,,42000000000.0,0.14
2001,,,,,,,,38000000000.0,0.13
2001,,,,,,,,40000000000.0,0.13
2001,0.4N,84.8E,,,,,,326000000000.0,0.86
2001,41.0N,77.0W,,,,,,1240000000000.0,2.8
2001,,,,,,,,50000000000.0,0.16
2001,,,,,,,,130000000000.0,0.38
2001,28.0N,133.6W,29.0,,,,,4600000000000.0,9.0
2001,,,,,,,,24000000000.0,0.086
2001,15.3S,162.4E,,,,,,251000000000.0,0.68
2001,,,,,,,,108000000000.0,0.32
2001,64.0S,97.3E,,,,,,151000000000.0,0.44
2001,66.0N,31.3E,,,,,,108000000000.0,0.32
2000,41.3N,95.2E,,,,,,262000000000.0,0.71
2000,50.4N,58.9E,,,,,,27000000000.0,0.095
2000,,,,,,,,119000000000.0,0.35
2000,13.6S,5.8W,,,,,,66000000000.0,0.21
2000,52.0S,22.2W,,,,,,69000000000.0,0.22
2000,31.7S,5.5W,,,,,,81000000000.0,0.25
2000,,,,,,,,27000000000.0,0.095
2000,58.5S,142.6E,,,,,,22000000000.0,0.079
2000,3.2S,133.8W,,,,,,89000000000.0,0.27
2000,14.5N,106.1W,,,,,,1385000000000.0,3.1
2000,36.7N,127.8W,,,,,,65000000000.0,0.21
2000,50.2S,101.9W,,,,,,182000000000.0,0.51
2000,15.7N,138.5W,,,,,,38000000000.0,0.13
2000,17.7S,94.1E,,,,,,107000000000.0,0.32
2000,46.6S,163.3E,,,,,,21000000000.0,0.076
2000,,,,,,,,121000000000.0,0.36
2000,15.0N,140.7E,,,,,,65000000000.0,0.21
2000,34.9N,36.8E,,,,,,27000000000.0,0.095
2000,69.2N,44.0W,,,,,,20000000000.0,0.073
2000,32.9N,159.0E,,,,,,30000000000.0,0.1
2000,,,,,,,,133000000000.0,0.39
2000,28.1N,107.3E,48.0,,,,,145000000000.0,0.42
2000,,,,,,,,190000000000.0,0.53
2000,36.8N,74.8W,,,,,,30000000000.0,0.1
2000,27.5S,18.9W,,,,,,30000000000.0,0.1
2000,,,,,,,,60000000000.0,0.19
2000,49.9N,18.4E,,,,,,28000000000.0,0.098
2000,5.0S,73.0E,,,,,,59000000000.0,0.19
2000,,,,,,,,86000000000.0,0.27
2000,,,,,,,,23000000000.0,0.082
2000,1.0N,98.3E,,,,,,63000000000.0,0.2
2000,,,,,,,,49000000000.0,0.16
2000,58.0N,175.0E,,,,,,960000000000.0,2.2
2000,0.9S,109.2E,,,,,,3620000000000.0,7.3
2000,14.2N,115.9E,,,,,,22000000000.0,0.079
2000,60.3N,134.6W,,,,,,1050000000000.0,2.4
2000,24.3N,94.9W,,,,,,35000000000.0,0.12
1999,26.5S,11.3W,,,,,,67000000000.0,0.21
1999,,,,,,,,273000000000.0,0.74
1999,,,,,,,,28000000000.0,0.098
1999,,,,,,,,42000000000.0,0.14
1999,,,,,,,,23000000000.0,0.082
1999,,,,,,,,45000000000.0,0.15
1999,8.1S,75.4E,,,,,,74000000000.0,0.23
1999,2.3S,77.4W,,,,,,89000000000.0,0.27
1999,13.7N,70.8W,,,,,,86000000000.0,0.27
1999,22.4N,0.2E,,,,,,28000000000.0,0.098
1999,32.5N,104.6E,32.0,,,,,90000000000.0,0.28
1999,35.0N,107.2W,,,,,,36000000000.0,0.12
1999,,,,,,,,68000000000.0,0.22
1999,64.7S,18.8W,,,,,,356000000000.0,0.93
1999,37.8S,39.6E,52.0,,,,,326000000000.0,0.86
1999,39.5S,174.4E,,,,,,140000000000.0,0.41
1999,50.0N,121.0E,69.0,,,,,124000000000.0,0.37
1999,16.4S,116.3W,,,,,,26000000000.0,0.092
1999,22.5S,6.5E,,,,,,92000000000.0,0.28
1999,32.8S,159.1E,,,,,,33000000000.0,0.11
1999,17.9S,22.6E,,,,,,234000000000.0,0.64
1999,0.8N,97.6E,,,,,,304000000000.0,0.81
1999,18.9N,50.5E,,,,,,59000000000.0,0.19
1999,54.9S,64.6W,,,,,,154000000000.0,0.44
1999,80.0N,154.2E,,,,,,28000000000.0,0.098
1999,7.9N,85.8E,,,,,,24000000000.0,0.086
1999,44.0S,129.7W,32.0,,,,,5060000000000.0,9.8
1999,,,,,,,,43000000000.0,0.14
1999,,,,,,,,24000000000.0,0.086
1999,47.0N,103.0E,65.0,,,,,35000000000.0,0.12
1998,,,,,,,,27000000000.0,0.095
1998,82.3N,160.1E,,,,,,25000000000.0,0.089
1998,6.5N,156.4E,,,,,,656000000000.0,1.6
1998,,,,,,,,32000000000.0,0.11
1998,,,,,,,,128000000000.0,0.38
1998,34.6N,23.6E,,,,,,24000000000.0,0.086
1998,,,,,,,,41000000000.0,0.14
1998,,,,,,,,23000000000.0,0.082
1998,,,,,,,,63000000000.0,0.2
1998,,,,,,,,27000000000.0,0.095
1998,1.4N,26.6E,,,,,,140000000000.0,0.41
1998,,,,,,,,62000000000.0,0.2
1998,35.1S,33.4E,30.0,17.1,6.0,-10.6,12.0,74000000000.0,0.23
1997,23.1S,152.4E,,,,,,31000000000.0,0.11
1997,62.7N,49.9W,,,,,,270000000000.0,0.73
1997,57.3S,167.2E,,,,,,800000000000.0,1.9
1997,31.8N,106.0W,37.0,,,,,190000000000.0,0.53
1997,46.7N,108.9E,,,,,,62000000000.0,0.2
1997,38.1S,63.9E,,,,,,23000000000.0,0.082
1997,31.1S,56.4E,,,,,,190000000000.0,0.53
1997,,,,,,,,26000000000.0,0.092
1997,,,,,,,,22000000000.0,0.079
1997,,,,,,,,50000000000.0,0.16
1997,15.8S,175.8W,,,,,,27000000000.0,0.095
1997,,,,,,,,45000000000.0,0.15
1997,16.7N,87.5E,,,,,,325000000000.0,0.86
1997,16.3S,87.7W,,,,,,140000000000.0,0.41
1997,35.5N,115.6E,,,,,,150000000000.0,0.43
1997,,,,,,,,26000000000.0,0.092
1997,,,,,,,,24000000000.0,0.086
1997,15.0S,94.2E,,,,,,270000000000.0,0.73
1997,32.2N,29.0E,,,,,,480000000000.0,1.2
1997,25.7N,5.3W,,,,,,43000000000.0,0.14
1997,,,,,,,,350000000000.0,0.92
1996,34.1N,37.2W,,,,,,41000000000.0,0.14
1996,,,,,,,,250000000000.0,0.68
1996,,,,,,,,49000000000.0,0.16
1996,,,,,,,,62000000000.0,0.2
1996,,,,,,,,68000000000.0,0.22
1996,,,,,,,,61000000000.0,0.2
1996,2.1S,123.1W,,,,,,21000000000.0,0.076
1996,27.4N,79.4W,,,,,,43000000000.0,0.14
1996,47.3S,20.6E,,,,,,44000000000.0,0.15
1996,29.7N,34.7W,,,,,,130000000000.0,0.38
1996,,,,,,,,45000000000.0,0.15
1996,49.6S,145.9E,,,,,,250000000000.0,0.68
1996,,,,,,,,34000000000.0,0.12
1996,,,,,,,,84000000000.0,0.26
1996,,,,,,,,30000000000.0,0.1
1996,,,,,,,,150000000000.0,0.43
1996,,,,,,,,130000000000.0,0.38
1996,,,,,,,,220000000000.0,0.61
1996,,,,,,,,80000000000.0,0.25
1996,31.8N,111.4E,,,,,,50000000000.0,0.16
1996,20.7N,93.6W,,,,,,32000000000.0,0.11
1996,,,,,,,,21000000000.0,0.076
1996,,,,,,,,28000000000.0,0.098
1996,,,,,,,,35000000000.0,0.12
1996,,,,,,,,27000000000.0,0.095
1996,31.1S,84.3W,,,,,,120000000000.0,0.36
1996,21.5N,158.1W,,,,,,128000000000.0,0.38
1996,,,,,,,,44000000000.0,0.15
1996,,,,,,,,230000000000.0,0.63
1996,,,,,,,,55000000000.0,0.18
1996,76.0N,127.0W,,,,,,50000000000.0,0.16
1996,,,,,,,,120000000000.0,0.36
1996,59.8S,175.8E,,,,,,260000000000.0,0.71
1995,,,,,,,,22000000000.0,0.079
1995,70.2S,73.3W,,,,,,450000000000.0,1.1
1995,2.9S,79.0W,,,,,,120000000000.0,0.36
1995,,,,,,,,29000000000.0,0.1
1995,,,,,,,,21000000000.0,0.076
1995,,,,,,,,35000000000.0,0.12
1995,,,,,,,,500000000000.0,1.3
1995,,,,,,,,120000000000.0,0.36
1995,,,,,,,,160000000000.0,0.46
1995,,,,,,,,55000000000.0,0.18
1995,11.6N,104.3W,,,,,,200000000000.0,0.56
1995,28.5S,93.3E,,,,,,130000000000.0,0.38
1995,0.9S,66.3E,,,,,,25000000000.0,0.089
1995,40.2N,76.1W,,,,,,140000000000.0,0.41
1995,,,,,,,,25000000000.0,0.089
1995,,,,,,,,25000000000.0,0.089
1995,16.7N,141.7W,,,,,,60000000000.0,0.19
1995,51.5N,115.4E,,,,,,70000000000.0,0.22
1995,,,,,,,,25000000000.0,0.089
1995,46.4N,12.1E,,,,,,41000000000.0,0.14
1995,,,,,,,,30000000000.0,0.1
1994,,,,,,,,50000000000.0,0.16
1994,42.2S,27.6E,,,,,,50000000000.0,0.16
1994,6.5N,89.0E,,,,,,2350000000000.0,5.0
1994,1.5S,84.5W,,,,,,1000000000000.0,2.3
1994,,,,,,,,320000000000.0,0.85
1994,45.2S,1.9W,,,,,,87000000000.0,0.27
1994,,,,,,,,66000000000.0,0.21
1994,,,,,,,,67000000000.0,0.21
1994,,,,,,,,164000000000.0,0.47
1994,45.0N,73.5W,,,,,,41000000000.0,0.14
1994,,,,,,,,509000000000.0,1.3
1994,52.8N,2.3E,,,,,,384000000000.0,1.0
1994,2.7N,164.1E,,,,,,18200000000000.0,30.0
1993,26.5N,78.3E,,,,,,26000000000.0,0.092
1993,51.3N,100.9W,,,,,,40000000000.0,0.13
1991,78.7N,6.3E,,,,,,550000000000.0,1.4
1990,7.5N,142.8E,,,,,,2500000000000.0,5.2
1988,4.1S,124.3E,,,,,,7580000000000.0,14.0
