Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year
2017-07-31 22:01:00.000000,24.7,118.5,,,,,,58000000000,0.19,2017
2017-07-23 06:12:00.000000,6.6,69.7,38.0,17.2,-0.4,8.7,-14.8,35000000000,0.12,2017
2017-07-13 09:30:00.000000,23.1,60.7,35.0,13.7,-10.0,-6.5,-6.8,73000000000,0.23,2017
2017-06-30 14:26:00.000000,34.3,134.5,20.0,15.2,10.9,-9.7,4.2,94000000000,0.29,2017
2017-06-23 20:21:00.000000,57.0,143.7,35.1,24.3,17.7,13.1,-10.3,184000000000,0.52,2017
2017-06-20 13:41:00.000000,54.2,133.0,33.3,13.6,8.7,-5.7,8.8,636000000000,1.6,2017
2017-05-24 07:03:00.000000,9.1,101.8,46.0,18.4,-6.5,-16.5,-5.0,90000000000,0.28,2017
2017-05-22 17:44:00.000000,49.6,157.6,33.0,,,,,35000000000,0.12,2017
2017-05-14 09:30:00.000000,26.0,32.4,33.0,,,,,35000000000,0.12,2017
2017-04-30 21:28:00.000000,25.7,56.2,32.4,21.5,-13.4,-14.2,8.9,150000000000,0.43,2017
2017-03-11 04:51:00.000000,28.3,60.2,28.0,,,,,1260000000000,2.9,2017
2017-03-09 04:16:00.000000,40.5,18.0,23.0,36.5,-15.3,25.8,-20.8,400000000000,1.0,2017
2017-03-08 22:21:00.000000,26.1,174.9,37.0,,,,,72000000000,0.23,2017
2017-02-25 01:22:00.000000,29.5,13.5,25.4,12.2,-7.6,-9.3,2.2,65000000000,0.21,2017
2017-02-22 18:47:00.000000,50.7,66.0,,,,,,38000000000,0.13,2017
2017-02-18 19:48:00.000000,6.2,60.4,38.0,24.2,-6.6,-22.7,-5.3,295000000000,0.79,2017
2017-02-07 17:37:00.000000,27.4,14.8,54.0,,,,,20000000000,0.07,2017
2017-02-06 06:09:00.000000,10.4,131.6,33.5,,,,,66000000000,0.21,2017
2016-12-23 03:29:00.000000,21.3,49.3,42.0,29.7,-22.4,16.4,-10.5,38000000000,0.13,2016
2016-12-07 04:51:00.000000,34.5,126.6,,,,,,117000000000,0.35,2016
2016-11-29 08:05:00.000000,30.6,93.1,,,,,,31000000000,0.11,2016
2016-11-24 14:10:00.000000,15.2,80.3,30.6,17.4,9.1,-11.2,9.7,138000000000,0.4,2016
2016-11-03 17:14:00.000000,39.6,16.3,37.0,,,,,76000000000,0.24,2016
2016-10-01 20:23:00.000000,36.2,6.7,27.8,14.2,-10.0,3.9,-9.3,31000000000,0.11,2016
2016-09-22 04:57:00.000000,51.8,178.5,40.0,17.5,-2.5,-3.3,17.0,71000000000,0.22,2016
2016-09-14 15:01:00.000000,3.5,44.6,54.0,18.3,3.5,-16.2,7.7,76000000000,0.24,2016
2016-08-27 21:45:00.000000,56.9,162.2,42.0,,,,,142000000000,0.41,2016
2016-08-11 05:59:00.000000,43.7,53.8,34.3,14.9,-0.7,-11.4,9.6,184000000000,0.52,2016
2016-08-05 18:02:00.000000,46.4,171.6,32.4,,,,,121000000000,0.36,2016
2016-07-21 00:48:00.000000,7.8,1.6,37.0,,,,,45000000000,0.15,2016
2016-07-05 01:24:00.000000,1.0,48.6,38.2,25.1,-10.3,-2.0,-22.8,153000000000,0.44,2016
2016-06-27 10:02:00.000000,15.8,11.9,33.3,29.1,-29.1,1.5,0.7,458000000000,1.2,2016
2016-06-05 06:12:00.000000,17.4,138.3,28.7,14.5,6.0,-11.9,5.7,331000000000,0.87,2016
2016-06-02 10:56:00.000000,33.8,110.9,,,,,,172000000000,0.49,2016
2016-05-29 12:14:00.000000,10.2,48.8,32.0,,,,,69000000000,0.22,2016
2016-05-20 11:59:00.000000,32.8,15.1,30.6,20.8,5.4,-9.9,17.5,20000000000,0.07,2016
2016-05-16 10:09:00.000000,3.2,6.6,41.7,12.2,-6.7,-3.3,-9.6,519000000000,1.3,2016
2016-05-13 00:34:00.000000,26.2,122.3,33.0,,,,,101000000000,0.31,2016
2016-04-24 05:39:00.000000,9.8,42.8,50.0,,,,,146000000000,0.42,2016
2016-04-18 11:59:00.000000,20.7,14.5,31.5,17.1,-3.5,2.2,-16.6,224000000000,0.62,2016
2016-04-12 09:51:00.000000,38.3,162.2,,,,,,20000000000,0.07,2016
2016-04-10 14:57:00.000000,22.0,149.0,35.2,15.1,4.7,-12.9,-6.4,655000000000,1.6,2016
2016-03-16 23:54:00.000000,49.2,6.3,42.0,13.3,-7.6,9.1,6.0,32000000000,0.11,2016
2016-03-03 01:32:00.000000,48.0,51.0,31.8,11.7,4.8,-7.1,7.9,58000000000,0.19,2016
2016-02-23 03:59:00.000000,32.3,67.2,44.0,17.9,-8.5,-1.6,-15.7,35000000000,0.12,2016
2016-02-21 05:58:00.000000,36.5,37.2,32.0,,,,,369000000000,0.96,2016
2016-02-19 08:15:00.000000,0.7,11.6,39.4,15.5,-14.9,-0.5,4.1,202000000000,0.56,2016
2016-02-13 00:10:00.000000,3.1,117.9,,,,,,51000000000,0.17,2016
2016-02-06 13:55:00.000000,30.4,25.5,31.0,15.6,2.7,14.5,5.0,6850000000000,13.0,2016
2016-01-27 09:59:00.000000,45.8,53.6,37.0,11.5,-10.0,-4.4,3.6,50000000000,0.16,2016
2016-01-21 16:44:00.000000,10.8,0.7,42.5,18.1,-3.8,-17.7,-1.2,46000000000,0.15,2016
2015-12-30 13:07:00.000000,33.8,160.7,39.0,,,,,22000000000,0.08,2015
2015-12-21 02:32:00.000000,5.9,143.0,42.2,12.1,6.4,-10.0,2.5,83000000000,0.26,2015
2015-12-08 00:34:00.000000,69.9,150.5,38.0,,,,,197000000000,0.55,2015
2015-11-13 14:59:00.000000,16.0,124.3,28.0,,,,,102000000000,0.31,2015
2015-11-02 21:34:00.000000,41.4,33.0,37.0,,,,,78000000000,0.24,2015
2015-10-31 11:34:00.000000,9.0,138.0,71.0,,,,,97000000000,0.29,2015
2015-10-30 07:07:00.000000,85.0,161.7,,,,,,180000000000,0.51,2015
2015-10-13 12:23:00.000000,8.0,52.5,38.9,12.9,-6.6,3.8,10.4,23000000000,0.08,2015
2015-10-11 00:07:00.000000,55.4,18.8,,,,,,30000000000,0.1,2015
2015-10-10 09:57:00.000000,51.0,21.1,51.8,11.8,-1.3,-5.1,10.6,36000000000,0.12,2015
2015-10-04 21:02:00.000000,22.0,171.6,36.1,,,,,44000000000,0.15,2015
2015-09-17 21:03:00.000000,43.1,94.9,,,,,,98000000000,0.3,2015
2015-09-14 23:50:00.000000,5.8,15.2,,,,,,70000000000,0.22,2015
2015-09-08 13:46:00.000000,6.3,29.9,44.4,16.1,-11.5,-11.3,-0.9,20000000000,0.07,2015
2015-09-07 01:41:00.000000,14.5,98.9,29.3,21.0,16.8,-12.0,-3.8,1800000000000,3.9,2015
2015-09-02 20:10:00.000000,39.1,40.2,39.8,24.1,10.3,-12.2,-18.0,37000000000,0.13,2015
2015-08-04 10:24:00.000000,9.6,125.9,,,,,,29000000000,0.1,2015
2015-07-19 07:06:00.000000,20.6,87.6,22.0,17.8,9.4,13.0,7.8,23000000000,0.08,2015
2015-07-12 22:23:00.000000,31.0,159.6,41.0,,,,,22000000000,0.08,2015
2015-07-04 01:40:00.000000,38.6,103.1,46.3,49.0,0.9,-40.4,-27.7,56000000000,0.18,2015
2015-06-14 03:03:00.000000,6.3,124.1,32.4,31.9,-4.7,-17.8,-26.0,71000000000,0.22,2015
2015-06-12 17:03:00.000000,1.3,32.1,43.5,,,,,176000000000,0.5,2015
2015-06-10 17:43:00.000000,11.5,161.9,61.1,,,,,384000000000,1.0,2015
2015-06-02 08:44:00.000000,6.4,142.7,,,,,,380000000000,0.99,2015
2015-05-20 10:20:00.000000,1.0,172.6,32.4,,,,,36000000000,0.12,2015
2015-05-18 17:13:00.000000,32.4,139.1,29.0,,,,,43000000000,0.14,2015
2015-05-10 07:45:00.000000,46.3,179.3,29.6,12.2,11.2,0.9,4.7,143000000000,0.42,2015
2015-05-07 20:34:00.000000,21.5,29.3,37.0,17.3,-16.2,-5.8,1.4,52000000000,0.17,2015
2015-04-30 10:21:00.000000,48.7,139.1,26.7,12.9,12.2,-4.2,0.9,105000000000,0.32,2015
2015-04-21 01:42:00.000000,37.7,39.6,37.4,21.3,-15.3,12.8,7.4,88000000000,0.27,2015
2015-04-10 01:14:00.000000,42.8,8.2,,,,,,65000000000,0.21,2015
2015-04-08 04:06:00.000000,25.5,51.5,36.3,19.2,8.0,-15.6,-7.9,173000000000,0.49,2015
2015-04-03 01:39:00.000000,8.4,157.9,,,,,,42000000000,0.14,2015
2015-03-30 21:33:00.000000,36.1,5.5,33.1,13.8,-13.7,-1.7,0.8,64000000000,0.2,2015
2015-03-18 00:04:00.000000,5.4,159.3,50.0,,,,,121000000000,0.36,2015
2015-03-11 06:18:00.000000,8.0,119.1,35.2,19.9,5.5,-10.5,-16.0,72000000000,0.23,2015
2015-03-08 04:26:00.000000,39.1,118.6,,,,,,20000000000,0.07,2015
2015-03-04 04:30:00.000000,15.9,88.1,39.8,18.0,7.8,-16.0,-2.5,55000000000,0.18,2015
2015-02-26 22:06:00.000000,68.0,149.0,33.7,21.1,5.6,-2.3,-20.2,188000000000,0.53,2015
2015-02-25 10:53:00.000000,12.4,122.4,42.0,,,,,58000000000,0.19,2015
2015-02-17 13:19:00.000000,8.0,11.2,39.0,28.8,-28.2,3.4,4.6,33000000000,0.11,2015
2015-01-09 17:31:00.000000,23.3,49.2,,,,,,22000000000,0.08,2015
2015-01-09 10:41:00.000000,2.0,28.8,36.0,17.5,-10.7,-7.6,11.6,139000000000,0.41,2015
2015-01-07 01:05:00.000000,45.7,26.9,45.5,35.7,-35.4,1.8,-4.4,136000000000,0.4,2015
2015-01-02 13:39:00.000000,31.1,140.0,38.1,18.1,4.5,-14.4,-10.0,20000000000,0.07,2015
2014-12-13 02:53:00.000000,86.7,162.1,30.7,21.7,15.3,-13.3,-7.8,44000000000,0.15,2014
2014-12-12 06:48:00.000000,33.5,144.9,26.3,12.0,11.5,-2.8,-2.2,33000000000,0.11,2014
2014-12-09 21:19:00.000000,76.6,96.3,26.3,,,,,78000000000,0.24,2014
2014-11-28 11:47:00.000000,45.8,172.7,26.1,13.4,0.4,-1.4,13.3,700000000000,1.7,2014
2014-11-27 12:12:00.000000,18.8,73.4,38.0,,,,,55000000000,0.18,2014
2014-11-26 23:16:00.000000,69.5,179.7,23.3,25.3,21.3,2.2,13.4,118000000000,0.35,2014
2014-11-26 17:40:00.000000,68.2,24.0,37.0,19.9,-7.0,16.1,9.4,105000000000,0.32,2014
2014-11-04 20:13:00.000000,43.1,115.8,22.2,16.0,-7.2,-12.1,-7.7,156000000000,0.45,2014
2014-10-21 18:55:00.000000,22.2,132.9,,,,,,34000000000,0.12,2014
2014-10-17 14:07:00.000000,4.6,66.3,39.0,,,,,72000000000,0.23,2014
2014-10-14 10:25:00.000000,2.0,119.2,27.2,16.9,15.0,-6.9,-3.5,29000000000,0.1,2014
2014-10-06 20:02:00.000000,43.7,85.7,,,,,,39000000000,0.13,2014
2014-09-09 18:55:00.000000,3.2,137.2,32.5,,,,,28000000000,0.1,2014
2014-09-05 21:37:00.000000,22.7,150.0,,,,,,35000000000,0.12,2014
2014-08-29 23:15:00.000000,6.2,49.9,,,,,,26000000000,0.09,2014
2014-08-28 03:07:00.000000,3.2,45.4,,,,,,34000000000,0.12,2014
2014-08-23 06:29:00.000000,61.7,132.6,22.2,16.2,-2.3,5.7,16.5,3820000000000,7.6,2014
2014-07-29 07:38:00.000000,49.2,172.2,,,,,,73000000000,0.23,2014
2014-07-29 03:07:00.000000,33.9,115.9,,,,,,53000000000,0.17,2014
2014-06-28 02:40:00.000000,18.9,141.2,26.3,12.4,12.0,3.5,-10.5,245000000000,0.67,2014
2014-06-26 05:54:00.000000,71.5,93.4,28.5,11.2,7.0,2.9,8.3,61000000000,0.2,2014
2014-05-29 01:12:00.000000,21.9,131.1,28.7,,,,,58000000000,0.19,2014
2014-05-16 20:06:00.000000,39.4,95.9,30.8,18.0,2.9,13.4,-12.5,136000000000,0.4,2014
2014-05-16 12:42:00.000000,44.2,176.2,44.0,16.5,14.4,4.6,6.5,309000000000,0.82,2014
2014-05-08 19:42:00.000000,36.9,87.3,35.4,19.0,-2.0,-16.1,9.9,1050000000000,2.4,2014
2014-03-29 13:45:00.000000,28.7,121.5,30.7,16.3,10.0,-12.7,2.2,39000000000,0.13,2014
2014-03-18 11:02:00.000000,0.0,111.8,30.5,,,,,540000000000,1.3,2014
2014-03-03 15:00:00.000000,29.0,94.9,,,,,,94000000000,0.29,2014
2014-02-18 12:50:00.000000,32.8,61.5,,,,,,26000000000,0.09,2014
2014-02-13 06:47:00.000000,13.3,110.7,25.0,,,,,630000000000,1.5,2014
2014-01-15 02:46:00.000000,18.5,141.8,29.6,,,,,140000000000,0.41,2014
2014-01-12 16:00:00.000000,2.9,64.4,37.0,16.2,-5.2,-15.1,2.6,78000000000,0.24,2014
2014-01-08 17:05:00.000000,1.3,147.6,18.7,44.8,-3.4,-43.5,-10.3,31000000000,0.11,2014
2013-12-23 08:30:00.000000,39.5,2.0,34.3,15.1,-1.1,11.4,-9.9,147000000000,0.43,2013
2013-12-08 03:10:00.000000,32.8,165.1,23.5,11.8,2.3,2.5,-11.3,64000000000,0.2,2013
2013-11-21 01:50:00.000000,44.7,35.3,59.3,12.4,-5.0,-11.0,-2.7,75000000000,0.23,2013
2013-10-12 16:06:00.000000,19.1,25.0,22.2,12.8,-8.0,8.4,-5.5,1610000000000,3.5,2013
2013-10-09 17:27:00.000000,,,,,,,,60000000000,0.19,2013
2013-09-24 15:31:00.000000,10.3,164.7,40.7,,,,,160000000000,0.46,2013
2013-08-12 18:08:00.000000,34.4,118.2,66.6,,,,,44000000000,0.15,2013
2013-07-31 07:00:00.000000,,,,,,,,39000000000,0.13,2013
2013-07-31 03:50:00.000000,31.8,137.1,29.1,17.8,17.7,-2.3,-0.1,69000000000,0.22,2013
2013-07-30 02:36:00.000000,50.2,90.2,25.6,18.8,15.9,-8.6,5.1,390000000000,1.0,2013
2013-07-27 08:30:00.000000,0.3,156.2,26.5,22.1,16.0,14.9,-3.3,120000000000,0.36,2013
2013-07-26 11:32:00.000000,21.0,178.5,37.0,,,,,20000000000,0.07,2013
2013-07-18 00:46:00.000000,,,,,,,,22000000000,0.08,2013
2013-06-13 02:51:00.000000,,,,,,,,22000000000,0.08,2013
2013-06-01 22:49:00.000000,65.6,138.4,28.9,,,,,34000000000,0.12,2013
2013-05-14 23:20:00.000000,3.0,76.4,,,,,,20000000000,0.07,2013
2013-04-30 08:40:00.000000,35.5,30.7,21.2,12.1,1.0,9.0,-8.0,5110000000000,10.0,2013
2013-04-21 06:23:00.000000,28.1,64.6,40.7,14.9,5.0,14.0,1.0,1070000000000,2.5,2013
2013-03-12 10:32:00.000000,32.7,17.1,26.0,,,,,29000000000,0.1,2013
2013-02-20 13:13:00.000000,23.0,38.8,,13.6,-11.0,-8.0,-1.0,32000000000,0.1,2013
2013-02-15 03:20:00.000000,54.8,61.1,23.3,18.6,12.8,-13.3,-2.4,375000000000000,440.0,2013
2013-02-07 13:12:00.000000,18.8,158.6,,,,,,65000000000,0.21,2013
2013-01-25 07:40:00.000000,60.3,64.6,,,,,,3400000000000,6.9,2013
2013-01-12 03:04:00.000000,15.1,155.6,36.1,,,,,48000000000,0.16,2013
2012-12-30 07:25:00.000000,17.3,83.6,,,,,,198000000000,0.55,2012
2012-12-18 11:19:00.000000,,,,,,,,27000000000,0.1,2012
2012-11-20 20:37:00.000000,2.5,29.6,33.3,14.3,-12.2,-5.3,5.3,25000000000,0.09,2012
2012-11-20 06:25:00.000000,8.0,86.0,,,,,,120000000000,0.36,2012
2012-10-25 15:57:00.000000,,,,,,,,30000000000,0.1,2012
2012-10-19 16:26:00.000000,75.4,49.6,29.3,13.2,-2.3,-3.9,12.4,23000000000,0.08,2012
2012-10-09 00:54:00.000000,51.2,84.6,27.8,13.5,3.4,12.0,5.1,210000000000,0.58,2012
2012-10-03 22:50:00.000000,41.5,21.9,,17.0,-2.4,5.5,15.9,280000000000,0.75,2012
2012-10-02 16:38:00.000000,8.1,111.9,35.0,15.4,1.4,15.3,1.0,470000000000,1.2,2012
2012-09-28 05:44:00.000000,6.9,73.7,,,,,,38000000000,0.13,2012
2012-09-18 19:34:00.000000,1.2,52.2,28.1,18.3,-1.9,14.1,-11.5,244000000000,0.67,2012
2012-09-11 22:07:00.000000,18.9,105.2,,,,,,52000000000,0.17,2012
2012-09-10 01:03:00.000000,69.8,111.7,23.8,16.9,-10.2,-5.2,12.4,23000000000,0.08,2012
2012-08-27 06:57:00.000000,18.3,64.2,38.7,28.9,-8.0,-23.7,-14.5,68000000000,0.22,2012
2012-08-26 14:55:00.000000,11.8,117.0,36.0,12.7,5.0,-11.6,-0.7,249000000000,0.68,2012
2012-08-13 05:31:00.000000,,,,,,,,33000000000,0.11,2012
2012-07-27 04:19:00.000000,63.1,172.3,27.2,,,,,34000000000,0.12,2012
2012-07-25 07:48:00.000000,36.4,41.5,26.8,18.5,0.8,2.0,-18.4,133000000000,0.39,2012
2012-06-05 07:44:00.000000,,,,,,,,24000000000,0.09,2012
2012-05-25 11:31:00.000000,41.8,36.2,,,,,,60000000000,0.19,2012
2012-05-22 08:31:00.000000,,,,,,,,211000000000,0.59,2012
2012-05-15 11:04:00.000000,61.8,135.5,33.3,17.1,-0.8,1.1,17.0,132000000000,0.39,2012
2012-05-04 21:54:00.000000,76.7,10.6,,,,,,229000000000,0.63,2012
2012-04-23 22:01:00.000000,36.2,107.4,25.2,,,,,44000000000,0.15,2012
2012-04-21 16:08:00.000000,15.8,174.8,,,,,,143000000000,0.42,2012
2012-04-19 22:12:00.000000,5.5,16.8,,,,,,30000000000,0.1,2012
2012-04-02 16:50:00.000000,28.1,95.2,,,,,,32000000000,0.11,2012
2012-03-12 06:40:00.000000,2.5,139.8,25.0,11.8,0.1,-11.8,0.3,99000000000,0.3,2012
2012-03-03 21:28:00.000000,7.8,2.7,20.4,,,,,101000000000,0.31,2012
2012-03-01 03:12:00.000000,46.9,29.8,,,,,,22000000000,0.08,2012
2012-02-24 19:11:00.000000,22.7,30.8,,,,,,37000000000,0.13,2012
2012-02-17 10:47:00.000000,3.2,39.9,45.6,,,,,154000000000,0.44,2012
2012-02-16 04:50:00.000000,9.8,151.8,,,,,,98000000000,0.3,2012
2012-02-12 05:25:00.000000,31.7,54.9,61.0,,,,,140000000000,0.41,2012
2012-02-04 14:42:00.000000,32.4,0.1,34.2,12.2,-3.9,10.9,4.0,150000000000,0.43,2012
2012-01-15 12:26:00.000000,64.1,109.9,26.3,12.3,-1.9,5.1,11.0,21000000000,0.08,2012
2012-01-11 02:23:00.000000,32.2,88.5,,,,,,85000000000,0.26,2012
2011-12-19 11:35:00.000000,30.2,52.6,36.1,,,,,135000000000,0.4,2011
2011-12-14 05:01:00.000000,62.9,89.6,32.4,,,,,50000000000,0.16,2011
2011-12-11 17:29:00.000000,,,,,,,,29000000000,0.1,2011
2011-11-20 05:25:00.000000,27.9,116.3,,,,,,23000000000,0.08,2011
2011-10-12 07:13:00.000000,26.4,78.4,,,,,,36000000000,0.12,2011
2011-09-13 23:36:00.000000,19.9,13.8,21.3,16.7,-3.7,1.8,16.2,67000000000,0.21,2011
2011-08-31 09:44:00.000000,18.6,5.1,,,,,,27000000000,0.1,2011
2011-08-20 20:01:00.000000,27.2,2.8,,,,,,23000000000,0.08,2011
2011-08-18 14:55:00.000000,,,,,,,,23000000000,0.08,2011
2011-08-11 02:56:00.000000,,,,,,,,35000000000,0.12,2011
2011-08-04 07:25:00.000000,40.7,86.7,63.0,,,,,28000000000,0.1,2011
2011-07-27 23:00:00.000000,45.3,63.5,29.6,,,,,44000000000,0.15,2011
2011-07-07 23:25:00.000000,,,,,,,,33000000000,0.11,2011
2011-07-05 15:42:00.000000,29.1,139.7,40.7,,,,,65000000000,0.21,2011
2011-07-04 09:18:00.000000,51.7,175.0,,,,,,29000000000,0.1,2011
2011-06-16 11:51:00.000000,67.3,21.4,40.5,,,,,24000000000,0.09,2011
2011-05-25 05:40:00.000000,4.1,14.0,59.0,11.6,-3.4,-10.8,2.4,2280000000000,4.8,2011
2011-05-16 13:39:00.000000,1.2,92.8,,,,,,20000000000,0.07,2011
2011-04-27 20:38:00.000000,1.4,126.6,28.7,,,,,220000000000,0.61,2011
2011-04-27 11:21:00.000000,,,,,,,,24000000000,0.09,2011
2011-04-17 11:21:00.000000,,,,,,,,24000000000,0.09,2011
2011-04-11 21:43:00.000000,,,,,,,,38000000000,0.13,2011
2011-04-06 08:30:00.000000,71.1,43.5,22.2,12.7,3.3,11.8,-3.5,148000000000,0.43,2011
2011-03-24 20:23:00.000000,0.6,127.5,59.0,,,,,58000000000,0.19,2011
2011-03-23 04:24:00.000000,,,,,,,,31000000000,0.11,2011
2011-03-23 04:16:00.000000,16.8,85.6,,,,,,22000000000,0.08,2011
2011-03-01 10:37:00.000000,53.5,103.9,30.6,11.9,-6.7,-1.1,-9.8,37000000000,0.13,2011
2011-02-21 05:07:00.000000,26.3,43.7,44.4,18.0,10.3,-14.8,0.1,39000000000,0.13,2011
2011-02-12 11:00:00.000000,7.8,95.3,,,,,,20000000000,0.07,2011
2011-01-21 15:11:00.000000,18.9,44.6,61.0,,,,,72000000000,0.23,2011
2011-01-08 19:38:00.000000,33.3,125.8,48.0,,,,,29000000000,0.1,2011
2010-12-25 23:24:00.000000,38.0,158.0,26.0,18.1,18.0,-2.0,-4.0,20000000000000,33.0,2010
2010-12-14 00:27:00.000000,4.9,175.5,24.0,,,,,39000000000,0.13,2010
2010-12-09 02:54:00.000000,54.5,169.7,66.0,,,,,63000000000,0.2,2010
